name	Known	Thes_exp	Gencode_annot_all_sRNA	Gencode_annot_all_miRNA	fRNAdb_aligned	noncode_aligned	Fantom_aligned	UTR5	UTR3	Intronic	Exonic	Intergenic	ATACpeak	ATACsummit	ATACannot	Expr_avg	Expr_Stdev
MIMAT0000062	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	46.5294117647059	19.4875525883153
MIMAT0000062_1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	39.7058823529412	18.5834762150491
MIMAT0000062_2	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	139	77.1354328437975
MIMAT0000063	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	3859.58823529412	2364.15669581205
MIMAT0000064	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	745.588235294118	513.715273622404
MIMAT0000065	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	19807.7058823529	8726.4095334558
MIMAT0000066	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	160.764705882353	171.452445816531
MIMAT0000067	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1078.29411764706	472.854201195501
MIMAT0000067_1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	9049.94117647059	4618.90083611064
MIMAT0000068	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	545.235294117647	255.468082500477
MIMAT0000069	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	15.8235294117647	10.8180133002648
MIMAT0000069_1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	58.7647058823529	24.5446771514842
MIMAT0000070	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	19671.6470588235	13068.3883902204
MIMAT0000071	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	441.235294117647	210.366504407119
MIMAT0000072	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	831.294117647059	446.44089260308
MIMAT0000073	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	750.411764705882	341.706573470487
MIMAT0000074	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	12.3529411764706	7.54934745914
MIMAT0000074_1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	27.2941176470588	17.3052185260774
MIMAT0000075	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	45504.3529411765	31255.7294986479
MIMAT0000076	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1948740.05882353	1022044.16243156
MIMAT0000077	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	18514.2941176471	8467.39601179656
MIMAT0000078	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	2663.88235294118	1563.95627665677
MIMAT0000079	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0
MIMAT0000080	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	2.88235294117647	2.5466240628815
MIMAT0000080_1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0.176470588235294	0.392952623996688
MIMAT0000081	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	37128.5294117647	16616.0645691062
MIMAT0000082	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	26.0588235294118	11.6268578528084
MIMAT0000082_1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	5.64705882352941	3.79046792082766
MIMAT0000083	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	21930.7647058824	9415.847363152
MIMAT0000084	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	35444.1764705882	14074.9752363694
MIMAT0000085	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	51.0588235294118	58.6861041774747
MIMAT0000086	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	43561.1176470588	17598.3233501176
MIMAT0000087	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	445.647058823529	312.664145125499
MIMAT0000088	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	46.2941176470588	26.1791059479749
MIMAT0000089	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0.235294117647059	0.437237316097603
MIMAT0000090	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	668.764705882353	350.500272719538
MIMAT0000091	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	54.8823529411765	27.1957771375934
MIMAT0000092	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	15948.1764705882	7799.60204301551
MIMAT0000092_1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1877.88235294118	936.122780565732
MIMAT0000093	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	18048.0588235294	10814.9669929604
MIMAT0000094	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	33.1764705882353	21.7262378649573
MIMAT0000095	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	65.9411764705882	89.3829336256615
MIMAT0000096	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	14697.9411764706	8208.88684955661
MIMAT0000097	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	3422.70588235294	3782.51116595685
MIMAT0000098	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	123.588235294118	87.3828206968691
MIMAT0000099	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	22.8823529411765	13.7517378580908
MIMAT0000099_1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	496.647058823529	314.232784169728
MIMAT0000100	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	6.11764705882353	3.67223285177384
MIMAT0000100_1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	3.05882352941176	2.77197105493758
MIMAT0000101	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0
MIMAT0000101_1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
MIMAT0000102	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
MIMAT0000102_1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
MIMAT0000103	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1218.23529411765	1088.10480477593
MIMAT0000104	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	454.647058823529	373.25559961916
MIMAT0000222	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	3416.35294117647	2854.33711527687
MIMAT0000226	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	9.70588235294118	7.43946155546852
MIMAT0000226_1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	2.05882352941176	2.10566462890266
MIMAT0000227	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1378.17647058824	694.806558987294
MIMAT0000228	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
MIMAT0000231	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0
MIMAT0000231_1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0.117647058823529	0.485071250072666
MIMAT0000232	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0
MIMAT0000232_1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0
MIMAT0000241	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0.0588235294117647	0.242535625036333
MIMAT0000242	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0
MIMAT0000242_1	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0.0588235294117647	0.242535625036333
MIMAT0000243	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	646873.411764706	448195.539305399
MIMAT0000244	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	5	3.64005494464026
MIMAT0000244_1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	36.2352941176471	21.9161168200616
MIMAT0000245	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	98427.4117647059	51486.5756217808
MIMAT0000250	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	66.7647058823529	65.7870897400895
MIMAT0000251	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0.117647058823529	0.332105582077536
MIMAT0000252	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0
MIMAT0000252_1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	134.823529411765	89.0612396711651
MIMAT0000252_2	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1361.76470588235	658.336875145598
MIMAT0000253	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	29780.1764705882	23427.2674709282
MIMAT0000254	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	396.294117647059	547.275041079196
MIMAT0000255	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1640.64705882353	796.699593728438
MIMAT0000256	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	10	7.88986691902975
MIMAT0000256_1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	2.76470588235294	2.84010148948735
MIMAT0000257	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	90.1176470588235	51.4099727107265
MIMAT0000257_1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	894.411764705882	620.896333821469
MIMAT0000258	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	97.1176470588235	46.7839213204456
MIMAT0000259	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1226.76470588235	1311.02238393418
MIMAT0000260	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0.823529411764706	1.28623938856882
MIMAT0000261	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	675.058823529412	437.420345689966
MIMAT0000262	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	3	2.12132034355964
MIMAT0000263	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	34.7647058823529	31.5109691452134
MIMAT0000264	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
MIMAT0000265	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	3.70588235294118	3.1576238273889
MIMAT0000266	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	78.1176470588235	158.542928868233
MIMAT0000267	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	15250.2352941176	9401.21724518567
MIMAT0000268	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0.588235294117647	1.00366973710303
MIMAT0000269	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	68.8235294117647	47.5345075893787
MIMAT0000270	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	3320.52941176471	1749.65286262901
MIMAT0000271	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0.0588235294117647	0.242535625036333
MIMAT0000272	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	68.9411764705882	49.4930179270714
MIMAT0000273	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0.117647058823529	0.332105582077536
MIMAT0000274	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1.58823529411765	2.57533550070209
MIMAT0000275	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0
MIMAT0000275_1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0
